,city_name,country,date,lat,long,max_temp,humidity,cloudiness,wind_speed
134,Hong Kong,HK,1590112605,22.29,114.16,84.99,88,100,21.0
135,Lorengau,PG,1590112902,-2.02,147.27,84.74,78,38,6.93
136,Bluff,NZ,1590112903,-46.6,168.33,54.54,72,47,27.81
137,Phan Thiet,VN,1590112904,10.93,108.1,89.28,63,100,5.93
138,Harper,LR,1590112905,4.38,-7.72,78.73,84,54,8.32
139,Tiksi,RU,1590112839,71.69,128.87,32.63,93,100,3.87
140,Luanda,AO,1590112637,-8.84,13.23,78.8,88,75,4.7
141,Xaçmaz,AZ,1590112908,41.46,48.81,68.67,41,0,4.0
142,Jamestown,US,1590112910,42.1,-79.24,64.4,55,1,8.05
143,Ambulu,ID,1590112911,-8.35,113.61,84.24,71,64,0.89
144,Daru,PG,1590112912,-9.08,143.21,83.64,79,86,7.83
145,Margate,GB,1590112667,51.38,1.39,66.0,68,100,1.99
146,Fairbanks,US,1590112914,64.84,-147.72,69.01,29,75,9.17
147,Ugoofaaru,MV,1590112915,5.67,73.0,84.7,77,80,21.72
148,Giohar,SO,1590112916,2.78,45.5,75.22,87,5,8.39
149,Mayo,US,1590112659,38.89,-76.51,63.0,84,100,8.01
150,La Ronge,CA,1590112918,55.1,-105.28,41.0,93,90,16.11
151,Mar del Plata,AR,1590112835,-38.0,-57.56,55.4,71,100,14.99
152,Kaitangata,NZ,1590112921,-46.28,169.85,57.99,72,42,5.99
153,Chimbote,PE,1590112923,-9.09,-78.58,65.17,87,39,7.67
154,Hue,VN,1590112924,16.47,107.6,91.4,66,20,3.36
155,Port Blair,IN,1590112925,11.67,92.75,86.0,76,100,6.93
156,Ribeira Grande,PT,1590112927,38.52,-28.7,54.19,78,100,3.89
157,Kiryat Gat,IL,1590112928,31.61,34.76,78.01,33,0,1.01
158,Narsaq,GL,1590112929,60.92,-46.05,37.4,69,75,8.05
159,Lebu,CL,1590112930,-37.62,-73.65,51.01,77,44,5.55
160,Kostanay,KZ,1590112766,53.17,63.58,50.0,93,75,6.71
161,Luganville,VU,1590112932,-15.53,167.17,80.6,74,75,8.05
162,Kununurra,AU,1590112912,-15.77,128.73,66.2,77,90,12.75
163,Hervey Bay,AU,1590112934,-25.3,152.85,63.0,59,87,7.0
164,Faanui,PF,1590112935,-16.48,-151.75,79.45,78,47,22.66
165,Mwingi,KE,1590112936,-0.93,38.06,64.69,85,96,6.98
166,Makat,KZ,1590112937,47.65,53.35,63.64,66,60,5.19
167,Russell,US,1590112842,32.35,-85.2,78.8,78,90,3.36
168,Kuznetsk,RU,1590112940,53.12,46.6,37.6,93,22,4.03
169,Bodden Town,KY,1590112941,19.28,-81.25,79.0,71,90,10.0
170,Provideniya,RU,1590112942,64.38,-173.3,37.4,69,90,15.66
171,Lagoa,PT,1590112943,39.05,-27.98,54.82,79,100,6.35
172,Yatou,CN,1590112944,37.15,122.38,64.45,79,99,22.84
173,Gazli,UZ,1590112945,40.13,63.45,72.16,27,9,17.72
174,Mahanoro,MG,1590112946,-19.9,48.8,69.44,85,66,4.9
175,Stromness,GB,1590112947,58.97,-3.3,48.2,93,100,9.17
176,Yerofey Pavlovich,RU,1590112949,53.97,121.97,60.66,32,0,9.08
177,São Filipe,CV,1590112950,14.9,-24.5,73.06,81,16,5.32
178,Xining,CN,1590112951,36.62,101.77,63.19,37,0,6.11
179,Maïné Soroa,NE,1590112952,13.21,12.02,83.68,53,100,16.82
180,Kavaratti,IN,1590112953,10.57,72.64,85.37,72,100,8.28
181,Hearst,CA,1590112954,49.68,-83.67,58.66,72,4,5.46
182,Warri,NG,1590112955,5.52,5.75,76.06,97,98,3.09
183,Ostrovnoy,RU,1590112956,68.05,39.51,34.68,86,100,14.27
184,Richards Bay,ZA,1590112957,-28.78,32.04,64.9,88,0,8.77
185,Batangafo,CF,1590112958,7.3,18.28,68.23,97,73,3.2
186,Salinópolis,BR,1590112959,-0.61,-47.36,80.04,85,100,8.1
187,Tasiilaq,GL,1590112960,65.61,-37.64,37.4,93,100,27.51
188,Necochea,AR,1590112961,-38.55,-58.74,53.01,77,1,8.01
189,Port Alfred,ZA,1590112962,-33.59,26.89,64.99,83,82,5.01
190,Hithadhoo,MV,1590112963,-0.6,73.08,84.33,78,100,11.95
191,Montepuez,MZ,1590112964,-13.13,39.0,60.53,97,10,6.42
192,Moerai,PF,1590112965,-22.43,-151.33,74.32,68,10,17.31
193,Roebourne,AU,1590112966,-20.78,117.13,75.42,22,0,19.62
194,Sitka,US,1590112967,57.05,-135.33,55.4,62,40,13.87
195,Vila Velha,BR,1590112893,-20.33,-40.29,70.0,94,2,5.21
196,Rasskazovo,RU,1590112969,52.67,41.9,37.9,83,2,5.75
197,Saskylakh,RU,1590112970,71.92,114.08,39.33,80,92,7.34
198,Umluj,SA,1590112971,25.02,37.27,84.88,46,0,4.12
199,Ochakiv,UA,1590112972,46.61,31.55,44.6,65,100,8.95
200,Jumla,NP,1590112973,29.27,82.18,65.7,38,0,2.33
201,Champerico,GT,1590112974,14.3,-91.92,84.7,70,2,2.19
202,Demirci,TR,1590112976,39.05,28.66,59.0,10,72,58.0
203,Bonavista,CA,1590112977,48.65,-53.11,45.68,77,97,13.73
204,Meulaboh,ID,1590112978,4.14,96.13,83.57,68,3,3.58
205,Talnakh,RU,1590112979,69.49,88.4,64.4,42,100,6.71
206,Nanortalik,GL,1590112980,60.14,-45.24,35.19,85,100,4.99
207,Iskateley,RU,1590112981,67.68,53.15,36.9,92,100,10.33
208,Bengkulu,ID,1590112982,-3.8,102.27,84.29,67,34,0.89
209,Savannah Bight,HN,1590112983,16.45,-85.85,81.63,78,84,30.8
210,Barra de Tecoanapa,MX,1590112985,16.52,-98.75,80.22,76,0,5.88
211,Atuona,PF,1590112986,-9.8,-139.03,80.47,77,6,16.91
212,Houston,US,1590112817,29.76,-95.36,82.0,80,100,4.0
213,Bose,IT,1590112988,45.46,8.01,64.99,69,0,3.89
214,Katsuura,JP,1590112989,35.13,140.3,62.6,93,75,13.87
215,Berdigestyakh,RU,1590112990,62.1,126.7,60.62,42,55,8.39
216,Kawalu,ID,1590112991,-7.38,108.21,82.65,72,95,3.04
217,Vila Franca do Campo,PT,1590112992,37.72,-25.43,60.8,77,75,2.33
218,Bowen,AU,1590112993,-20.02,148.23,70.0,88,75,6.93
219,Tiznit Province,MA,1590112994,29.58,-9.5,75.51,39,69,3.24
220,Krasnosel'kup,RU,1590112995,65.7,82.47,67.32,67,100,12.06
221,Santiago,CL,1590112880,-33.46,-70.65,50.0,81,0,3.36
222,Rognan,NO,1590112997,67.1,15.39,42.01,58,69,8.3
223,Matamoros,MX,1590112999,25.53,-103.25,96.8,13,20,11.41
224,Pronsk,RU,1590113000,54.1,39.61,37.0,81,33,1.99
225,Codrington,AU,1590113001,-38.27,141.97,50.81,92,98,6.98
226,Chicama,PE,1590113003,-7.84,-79.15,67.98,77,32,7.02
227,Mehrān,IR,1590113004,33.12,46.16,64.4,34,0,4.7
228,Hatten,DE,1590113005,53.02,8.35,57.99,84,100,1.01
229,Bilma,NE,1590113006,18.69,12.92,86.4,35,0,16.11
230,Dukat,RU,1590113007,62.55,155.55,37.85,75,100,4.76
231,Lavrentiya,RU,1590113008,65.58,-171.0,34.07,91,100,10.96
232,Kichera,RU,1590113009,55.94,110.1,59.76,34,0,5.35
233,Manyana,BW,1590113010,-23.4,21.72,49.68,49,0,8.28
234,Nuuk,GL,1590112924,64.18,-51.72,33.8,89,100,3.36
235,Longyearbyen,SJ,1590113012,78.22,15.64,32.0,96,75,16.11
236,Teya,RU,1590113013,60.38,92.63,72.61,27,0,3.31
237,Khoy,IR,1590113014,38.55,44.95,62.76,59,0,2.15
238,Yuma,US,1590113015,32.73,-114.62,91.4,9,1,4.7
239,Manakara,MG,1590113016,-22.13,48.02,66.49,92,74,2.28
240,Abja-Paluoja,EE,1590113017,58.13,25.35,41.0,90,61,4.41
241,Baghdad,IQ,1590112854,33.34,44.4,73.4,38,0,3.36
242,Orange Cove,US,1590113019,36.62,-119.31,82.4,28,0,3.96
243,Cidreira,BR,1590113020,-30.18,-50.21,66.99,95,100,11.1
244,Bilibino,RU,1590113021,68.05,166.44,30.9,91,64,6.91
245,Gweta,BW,1590113022,-20.18,25.23,55.65,75,0,9.35
246,Verkhnevilyuysk,RU,1590113023,63.45,120.32,55.94,38,96,9.46
247,San Cristobal,VE,1590113024,7.77,-72.22,69.85,77,2,3.33
248,Remedios,CU,1590113025,22.49,-79.55,75.2,100,75,3.36
249,Avera,US,1590113026,33.19,-82.53,71.6,83,1,2.26
250,Araouane,ML,1590113027,18.9,-3.53,82.06,14,0,9.06
251,Tuatapere,NZ,1590113028,-46.13,167.68,57.67,70,28,8.19
252,Muroto-misakicho,JP,1590112833,33.28,134.15,71.6,60,75,4.7
253,Selenginsk,RU,1590113030,52.01,106.86,50.0,81,75,4.47
254,Neuquén,AR,1590112875,-38.95,-68.06,41.0,86,0,6.69
255,Elkton,US,1590113033,39.61,-75.83,60.01,84,53,6.76
256,Caldono,CO,1590113034,2.8,-76.48,60.3,86,18,4.99
257,Nikolskoye,RU,1590113035,59.7,30.79,41.0,75,100,8.95
258,Xuanwu,CN,1590113036,32.07,118.81,80.01,65,20,6.71
259,Karpathos,GR,1590113037,35.51,27.21,68.0,72,0,18.34
260,Conceição da Barra,BR,1590112820,-18.59,-39.73,71.1,89,21,3.53
261,Hambantota,LK,1590113039,6.12,81.12,82.85,77,93,19.55
262,Matara,LK,1590113040,5.95,80.54,81.77,81,41,11.56
263,Oni,GE,1590113041,42.58,43.44,59.2,63,99,6.6
264,Anchorage,US,1590112800,61.22,-149.9,51.8,57,90,6.93
265,Kieta,PG,1590113043,-6.22,155.63,81.95,75,100,3.69
266,Karratha,AU,1590112984,-20.74,116.85,74.95,21,0,19.42
267,Beroroha,MG,1590113045,-21.67,45.17,63.25,73,0,4.52
268,Tecpan,GT,1590113046,14.76,-90.99,69.8,83,75,11.41
269,Luwuk,ID,1590113047,-0.95,122.79,86.97,64,2,4.36
270,Aransas Pass,US,1590113049,27.91,-97.15,81.0,94,1,12.75
271,Puerto Ayacucho,VE,1590113050,5.66,-67.62,78.24,88,97,4.99
272,Bjørnevatn,NO,1590113051,69.67,29.98,35.6,69,0,5.82
273,Chiredzi,ZW,1590113052,-21.05,31.67,58.37,89,25,3.51
274,Puerto Carreño,CO,1590113053,6.19,-67.49,80.37,81,64,7.96
275,Laguna,US,1590113054,38.42,-121.42,82.4,30,1,8.05
276,Karagaylinskiy,RU,1590113055,54.17,86.55,56.28,92,100,7.74
277,St. George's,GD,1590113056,12.06,-61.75,82.4,83,20,20.8
278,Praia da Vitória,PT,1590113060,38.73,-27.07,62.6,67,20,7.67
279,Kukuna,SL,1590113061,9.4,-12.67,76.95,81,4,3.85
280,Kutum,SD,1590113062,14.2,24.67,69.8,66,100,13.87
281,Coquimbo,CL,1590113063,-29.95,-71.34,51.1,74,0,3.27
282,Cockburn Town,TC,1590112804,21.46,-71.14,80.31,83,100,20.42
283,Hasaki,JP,1590112905,35.73,140.83,61.0,93,75,12.75
284,Phuket,TH,1590113066,8.0,98.25,84.2,83,40,11.41
285,Coahuayana Viejo,MX,1590113067,18.73,-103.68,75.49,86,35,2.89
286,Jalu,LY,1590113068,29.03,21.55,71.53,45,6,9.8
287,Itaituba,BR,1590113069,-4.28,-55.98,75.38,92,91,1.9
288,Piaçabuçu,BR,1590113070,-10.41,-36.43,77.88,86,37,8.86
289,Vokhtoga,RU,1590112902,58.81,41.05,37.51,96,100,11.97
290,Marrakesh,MA,1590113073,31.63,-8.01,71.6,56,36,5.82
291,Broome,US,1590113074,42.25,-75.83,64.4,48,1,8.05
292,Yerbogachën,RU,1590113075,61.28,108.01,63.03,46,0,6.82
293,Port Macquarie,AU,1590113076,-31.43,152.92,64.99,53,1,3.0
294,Gillette,US,1590112801,44.29,-105.5,66.2,37,20,9.66
295,Paján,EC,1590113078,-1.57,-80.42,73.51,88,11,3.96
296,Leh,IN,1590113079,34.17,77.58,46.36,43,0,1.05
297,Nicoya,CR,1590113080,10.15,-85.45,72.0,94,100,7.0
298,Chandla,IN,1590113081,25.08,80.2,94.23,10,0,7.38
299,Ancud,CL,1590113082,-41.87,-73.82,42.01,100,90,4.7
300,Acapulco de Juárez,MX,1590112800,16.86,-99.89,82.4,74,20,9.17
301,Palekastro,GR,1590113084,35.2,26.25,66.99,75,11,1.99
302,Gulābpura,IN,1590113085,25.9,74.67,89.02,25,0,22.39
303,São Félix do Xingu,BR,1590112836,-6.64,-51.99,72.84,92,0,1.9
304,Algiers,DZ,1590112928,36.75,3.04,55.4,87,11,3.36
305,Buraidah,SA,1590112983,26.33,43.98,73.4,35,0,6.93
306,Nemuro,JP,1590113090,43.32,145.57,46.4,70,75,8.05
307,Kėdainiai,LT,1590113091,55.29,23.97,44.6,65,70,5.82
308,Mount Gambier,AU,1590113092,-37.83,140.77,53.6,100,90,6.93
309,Marau,BR,1590113093,-28.45,-52.2,66.18,92,100,11.03
310,Nome,US,1590113094,64.5,-165.41,48.0,93,90,12.75
